Epoch,Loss,Accuracy
1,1.27199,30
2,1.25437,30
3,1.23925,30
4,1.22617,30
5,1.21477,30
1,1.17174,30
2,1.16627,30
3,1.16165,30
4,1.15802,30
5,1.15483,30
1,1.14019,40
2,1.13808,70
3,1.13628,70
4,1.13456,70
5,1.1334,70
1,1.12192,70
2,1.11807,70
3,1.11328,70
4,1.10852,70
5,1.10393,70
1,1.06462,70
2,1.05887,70
3,1.05338,70
4,1.0482,70
5,1.04312,70
1,1.01612,70
2,1.01197,70
3,1.00783,70
4,1.00371,70
5,0.999712,70
1,0.974953,70
2,0.971087,70
3,0.967221,70
4,0.963358,70
5,0.959497,70
1,0.934076,70
2,0.930173,70
3,0.926281,70
4,0.922399,70
5,0.918528,70
1,0.892719,70
2,0.888903,70
3,0.885101,70
4,0.881314,70
5,0.877624,70
1,0.856356,70
2,0.853431,70
3,0.850512,70
4,0.847599,70
5,0.844691,70
1,0.823315,80
2,0.820375,80
3,0.817441,80
4,0.814511,80
5,0.811585,80
1,0.790187,80
2,0.787689,80
3,0.785332,80
4,0.782989,80
5,0.780659,80
1,0.762589,80
2,0.76071,80
3,0.758852,80
4,0.757012,80
5,0.755189,80
1,0.739473,80
2,0.737687,80
3,0.735907,80
4,0.734132,80
5,0.732361,80
1,0.716533,80
2,0.714739,80
3,0.712944,80
4,0.711147,80
5,0.709347,80
1,0.693206,90
2,0.691473,90
3,0.689736,90
4,0.687992,90
5,0.686243,90
1,0.670132,90
2,0.66835,90
3,0.666563,90
4,0.664772,90
5,0.662976,90
1,0.646483,100
2,0.64467,100
3,0.642854,100
4,0.641036,100
5,0.639216,100
1,0.622526,100
2,0.620713,100
3,0.618899,100
4,0.617085,100
5,0.615272,100
1,0.59861,100
2,0.596827,100
3,0.595047,100
4,0.59327,100
5,0.591496,100
1,0.575083,100
2,0.573424,100
3,0.571768,100
4,0.570114,100
5,0.568463,100
1,0.552792,100
2,0.551208,100
3,0.549626,100
4,0.548047,100
5,0.54647,100
1,0.531261,100
2,0.529757,100
3,0.528256,100
4,0.526756,100
5,0.525261,100
1,0.510577,100
2,0.509159,100
3,0.507742,100
4,0.506329,100
5,0.504919,100
1,0.490797,100
2,0.489466,100
3,0.488137,100
4,0.486811,100
5,0.485488,100
1,0.471942,100
2,0.470697,100
3,0.469454,100
4,0.468213,100
5,0.466975,100
1,0.453996,100
2,0.452833,100
3,0.451671,100
4,0.450512,100
5,0.449354,100
1,0.436921,100
2,0.435835,100
3,0.434749,100
4,0.433665,100
5,0.432583,100
1,0.420663,100
2,0.419648,100
3,0.418632,100
4,0.417618,100
5,0.416605,100
1,0.405166,100
2,0.404215,100
3,0.403264,100
4,0.402313,100
5,0.401363,100
1,0.390367,100
2,0.389475,100
3,0.388581,100
4,0.387688,100
5,0.386796,100
1,0.376207,100
2,0.375368,100
3,0.374527,100
4,0.373686,100
5,0.372845,100
1,0.362633,100
2,0.361884,100
3,0.361138,100
4,0.360396,100
5,0.359656,100
1,0.350108,100
2,0.349406,100
3,0.348706,100
4,0.34801,100
5,0.347316,100
1,0.338106,100
2,0.337446,100
3,0.336788,100
4,0.336132,100
5,0.33548,100
1,0.326587,100
2,0.325973,100
3,0.325361,100
4,0.324752,100
5,0.324146,100
1,0.315568,100
2,0.314985,100
3,0.314404,100
4,0.313826,100
5,0.31325,100
1,0.304916,100
2,0.304361,100
3,0.303809,100
4,0.30326,100
5,0.302713,100
1,0.294611,100
2,0.294084,100
3,0.293564,100
4,0.293049,100
5,0.292536,100
1,0.28468,100
2,0.284182,100
3,0.283687,100
4,0.283194,100
5,0.282704,100
1,0.275042,100
2,0.274566,100
3,0.274093,100
4,0.273624,100
5,0.273157,100
1,0.265718,100
2,0.26527,100
3,0.264826,100
4,0.264385,100
5,0.263946,100
1,0.256686,100
2,0.256256,100
3,0.255831,100
4,0.255409,100
5,0.254989,100
1,0.247894,100
2,0.247482,100
3,0.247076,100
4,0.246673,100
5,0.246272,100
1,0.239338,100
2,0.238945,100
3,0.238556,100
4,0.238171,100
5,0.237789,100
1,0.231015,100
2,0.230638,100
3,0.230267,100
4,0.229899,100
5,0.229535,100
1,0.222916,100
2,0.222556,100
3,0.222202,100
4,0.221851,100
5,0.221504,100
1,0.215039,100
2,0.214694,100
3,0.214356,100
4,0.214022,100
5,0.213692,100
1,0.207376,100
2,0.207047,100
3,0.206724,100
4,0.206406,100
5,0.206092,100
1,0.199924,100
2,0.19961,100
3,0.199302,100
4,0.199,100
5,0.1987,100
