Iterations,Error
1,0.387896
2,0.387896
3,0.387896
4,0.387896
5,0.387897
6,0.387897
7,0.387897
8,0.387897
9,0.387897
10,0.387897
11,0.387897
12,0.387897
13,0.387897
14,0.387898
15,0.387898
16,0.387898
17,0.387898
18,0.387898
19,0.387898
20,0.387898
21,0.387898
22,0.387898
23,0.387899
24,0.387899
25,0.387899
26,0.387899
27,0.387899
28,0.387899
29,0.387899
30,0.387899
31,0.387899
32,0.387899
33,0.3879
34,0.3879
35,0.3879
36,0.3879
37,0.3879
38,0.3879
39,0.3879
40,0.3879
41,0.3879
42,0.387901
43,0.387901
44,0.387901
45,0.387901
46,0.387901
47,0.387901
48,0.387901
49,0.387901
50,0.387901
51,0.387902
52,0.387902
53,0.387902
54,0.387902
55,0.387902
56,0.387902
57,0.387902
58,0.387902
59,0.387902
60,0.387903
61,0.387903
62,0.387903
63,0.387903
64,0.387903
65,0.387903
66,0.387903
67,0.387903
68,0.387903
69,0.387904
70,0.387904
71,0.387904
72,0.387904
73,0.387904
74,0.387904
75,0.387904
76,0.387904
77,0.387904
78,0.387904
79,0.387905
80,0.387905
81,0.387905
82,0.387905
83,0.387905
84,0.387905
85,0.387905
86,0.387905
87,0.387905
88,0.387906
89,0.387906
90,0.387906
91,0.387906
92,0.387906
93,0.387906
94,0.387906
95,0.387906
96,0.387906
97,0.387907
98,0.387907
99,0.387907
100,0.387907
101,0.387907
102,0.387907
103,0.387907
104,0.387907
105,0.387907
106,0.387908
107,0.387908
108,0.387908
109,0.387908
110,0.387908
111,0.387908
112,0.387908
113,0.387908
114,0.387908
115,0.387908
116,0.387909
117,0.387909
118,0.387909
119,0.387909
120,0.387909
121,0.387909
122,0.387909
123,0.387909
124,0.387909
125,0.38791
126,0.38791
127,0.38791
128,0.38791
129,0.38791
130,0.38791
131,0.38791
132,0.38791
133,0.38791
134,0.387911
135,0.387911
136,0.387911
137,0.387911
138,0.387911
139,0.387911
140,0.387911
141,0.387911
142,0.387911
143,0.387911
144,0.387912
145,0.387912
146,0.387912
147,0.387912
148,0.387912
149,0.387912
150,0.387912
151,0.387912
152,0.387912
153,0.387913
154,0.387913
155,0.387913
156,0.387913
157,0.387913
158,0.387913
159,0.387913
160,0.387913
161,0.387913
162,0.387913
163,0.387914
164,0.387914
165,0.387914
