Iterations,Error,Accuracy
1,2.30368,-1.3022
2,2.29968,-1.30065
3,2.29802,-1.29912
4,2.29869,-1.29758
5,2.29794,-1.29604
6,2.29502,-1.29448
7,2.2914,-1.29293
8,2.29227,-1.29136
9,2.28791,-1.28977
10,2.2875,-1.28815
11,2.28723,-1.28651
12,2.2851,-1.28484
13,2.28106,-1.28316
14,2.28245,-1.28145
15,2.28017,-1.27973
16,2.27532,-1.27796
17,2.27719,-1.27616
18,2.27708,-1.27431
19,2.27328,-1.27243
20,2.27139,-1.2705
21,2.26529,-1.26853
22,2.26635,-1.26651
23,2.26208,-1.26443
24,2.26157,-1.26229
25,2.26114,-1.26009
26,2.2549,-1.25784
27,2.25847,-1.25551
28,2.25063,-1.25311
29,2.25224,-1.25065
30,2.24712,-1.2481
31,2.24715,-1.24548
32,2.24161,-1.24278
33,2.24226,-1.23999
34,2.23238,-1.23711
35,2.23515,-1.23412
36,2.22572,-1.23103
37,2.22536,-1.22785
38,2.22185,-1.22457
39,2.22562,-1.22118
40,2.2202,-1.2177
41,2.21041,-1.21412
42,2.20413,-1.21043
43,2.20846,-1.20662
44,2.20489,-1.20271
45,2.20176,-1.19869
46,2.18705,-1.19458
47,2.19461,-1.19035
48,2.17803,-1.18602
49,2.18134,-1.18158
50,2.18164,-1.17704
51,2.17678,-1.17241
52,2.17442,-1.16766
53,2.15319,-1.1628
54,2.14786,-1.1578
55,2.15272,-1.15269
56,2.13788,-1.14746
57,2.14191,-1.14212
58,2.14433,-1.13667
59,2.12035,-1.13109
60,2.11404,-1.12539
61,2.12649,-1.11957
62,2.11274,-1.11363
63,2.10452,-1.10755
64,2.10303,-1.10131
65,2.09611,-1.09492
66,2.08704,-1.08839
67,2.06736,-1.08171
68,2.05928,-1.07489
69,2.06874,-1.06796
70,2.07087,-1.06088
71,2.06183,-1.05369
72,2.04406,-1.04636
73,2.03866,-1.03889
74,2.01322,-1.03127
75,2.0323,-1.02354
76,2.01641,-1.01568
77,1.99041,-1.00771
78,1.98182,-0.999586
79,2.00035,-0.991318
80,1.99297,-0.982928
81,1.97658,-0.974406
82,1.97582,-0.965757
83,1.93542,-0.956978
84,1.92707,-0.948086
85,1.95212,-0.939064
86,1.94276,-0.929918
87,1.93002,-0.920677
88,1.92912,-0.91134
89,1.9126,-0.901916
90,1.91408,-0.892427
91,1.87185,-0.882878
92,1.87051,-0.873225
93,1.86631,-0.863443
94,1.87521,-0.853577
95,1.84437,-0.843653
96,1.8114,-0.833664
