Epoch,Loss
1,1.00174
2,0.613746
3,0.439148
4,0.344595
5,0.285213
6,0.24513
7,0.216862
8,0.196254
9,0.18082
10,0.168937
11,0.159612
12,0.152176
13,0.146196
14,0.141308
15,0.137303
16,0.134039
17,0.131364
18,0.129202
19,0.127461
20,0.126095
21,0.125075
22,0.124417
23,0.123997
24,0.123855
25,0.123966
26,0.124241
27,0.124693
28,0.125366
29,0.126174
30,0.126819
31,0.127481
32,0.128005
33,0.128629
34,0.12899
35,0.129022
36,0.128729
37,0.128447
38,0.127923
39,0.127147
40,0.126066
41,0.124873
42,0.123766
43,0.122893
44,0.121888
45,0.120801
46,0.119695
47,0.118603
48,0.117493
49,0.116379
50,0.115315
