Epoch, MSE
1, 0.251557
2, 0.251555
3, 0.251552
4, 0.251549
5, 0.251547
6, 0.251544
7, 0.251542
8, 0.251539
9, 0.251536
10, 0.251534
11, 0.251531
12, 0.251529
13, 0.251527
14, 0.251524
15, 0.251522
16, 0.251519
17, 0.251517
18, 0.251515
19, 0.251512
20, 0.25151
21, 0.251508
22, 0.251505
23, 0.251503
24, 0.251501
25, 0.251499
26, 0.251497
27, 0.251494
28, 0.251492
29, 0.25149
30, 0.251488
31, 0.251486
32, 0.251484
33, 0.251482
34, 0.25148
35, 0.251478
36, 0.251476
37, 0.251474
38, 0.251472
39, 0.25147
40, 0.251468
41, 0.251466
42, 0.251464
43, 0.251462
44, 0.25146
45, 0.251458
46, 0.251457
47, 0.251455
48, 0.251453
49, 0.251451
50, 0.251449
51, 0.251448
52, 0.251446
53, 0.251444
54, 0.251442
55, 0.251441
56, 0.251439
57, 0.251437
58, 0.251435
59, 0.251434
60, 0.251432
61, 0.251431
62, 0.251429
63, 0.251427
64, 0.251426
65, 0.251424
66, 0.251423
67, 0.251421
68, 0.251419
69, 0.251418
70, 0.251416
71, 0.251415
72, 0.251413
73, 0.251412
74, 0.25141
75, 0.251409
76, 0.251408
77, 0.251406
78, 0.251405
79, 0.251403
80, 0.251402
81, 0.2514
82, 0.251399
83, 0.251398
84, 0.251396
85, 0.251395
86, 0.251394
87, 0.251392
88, 0.251391
89, 0.25139
90, 0.251388
91, 0.251387
92, 0.251386
93, 0.251385
94, 0.251383
95, 0.251382
96, 0.251381
97, 0.25138
98, 0.251378
99, 0.251377
100, 0.251376
101, 0.251375
102, 0.251374
103, 0.251372
104, 0.251371
105, 0.25137
106, 0.251369
107, 0.251368
108, 0.251367
109, 0.251366
110, 0.251364
111, 0.251363
112, 0.251362
113, 0.251361
114, 0.25136
115, 0.251359
116, 0.251358
117, 0.251357
118, 0.251356
119, 0.251355
120, 0.251354
121, 0.251353
122, 0.251352
123, 0.251351
124, 0.25135
125, 0.251349
126, 0.251348
127, 0.251347
128, 0.251346
129, 0.251345
130, 0.251344
131, 0.251343
132, 0.251342
133, 0.251341
134, 0.25134
135, 0.251339
136, 0.251338
137, 0.251337
138, 0.251336
139, 0.251335
140, 0.251335
141, 0.251334
142, 0.251333
143, 0.251332
144, 0.251331
145, 0.25133
146, 0.251329
147, 0.251328
148, 0.251328
149, 0.251327
150, 0.251326
151, 0.251325
152, 0.251324
153, 0.251323
154, 0.251323
155, 0.251322
156, 0.251321
157, 0.25132
158, 0.251319
159, 0.251319
160, 0.251318
161, 0.251317
162, 0.251316
163, 0.251316
164, 0.251315
165, 0.251314
166, 0.251313
167, 0.251312
168, 0.251312
169, 0.251311
170, 0.25131
171, 0.25131
172, 0.251309
173, 0.251308
174, 0.251307
175, 0.251307
176, 0.251306
177, 0.251305
178, 0.251305
179, 0.251304
180, 0.251303
181, 0.251303
182, 0.251302
183, 0.251301
184, 0.2513
185, 0.2513
186, 0.251299
187, 0.251298
188, 0.251298
189, 0.251297
190, 0.251297
191, 0.251296
192, 0.251295
193, 0.251295
194, 0.251294
195, 0.251293
196, 0.251293
197, 0.251292
198, 0.251292
199, 0.251291
200, 0.25129
201, 0.25129
202, 0.251289
203, 0.251288
204, 0.251288
205, 0.251287
206, 0.251287
207, 0.251286
208, 0.251286
209, 0.251285
210, 0.251284
211, 0.251284
212, 0.251283
213, 0.251283
214, 0.251282
215, 0.251282
216, 0.251281
217, 0.25128
218, 0.25128
219, 0.251279
220, 0.251279
221, 0.251278
222, 0.251278
223, 0.251277
224, 0.251277
225, 0.251276
226, 0.251276
227, 0.251275
228, 0.251275
229, 0.251274
230, 0.251274
231, 0.251273
232, 0.251272
233, 0.251272
234, 0.251271
235, 0.251271
236, 0.25127
237, 0.25127
238, 0.251269
239, 0.251269
240, 0.251268
241, 0.251268
242, 0.251268
243, 0.251267
244, 0.251267
245, 0.251266
246, 0.251266
247, 0.251265
248, 0.251265
249, 0.251264
250, 0.251264
251, 0.251263
252, 0.251263
253, 0.251262
254, 0.251262
255, 0.251261
256, 0.251261
257, 0.25126
258, 0.25126
259, 0.25126
260, 0.251259
261, 0.251259
262, 0.251258
263, 0.251258
264, 0.251257
265, 0.251257
266, 0.251257
267, 0.251256
268, 0.251256
269, 0.251255
270, 0.251255
271, 0.251254
272, 0.251254
273, 0.251254
274, 0.251253
275, 0.251253
276, 0.251252
277, 0.251252
278, 0.251251
279, 0.251251
280, 0.251251
281, 0.25125
282, 0.25125
283, 0.251249
284, 0.251249
285, 0.251249
286, 0.251248
287, 0.251248
288, 0.251247
289, 0.251247
290, 0.251247
291, 0.251246
292, 0.251246
293, 0.251245
294, 0.251245
295, 0.251245
296, 0.251244
297, 0.251244
298, 0.251244
299, 0.251243
300, 0.251243
301, 0.251242
302, 0.251242
303, 0.251242
304, 0.251241
305, 0.251241
306, 0.251241
307, 0.25124
308, 0.25124
309, 0.251239
310, 0.251239
311, 0.251239
312, 0.251238
313, 0.251238
314, 0.251238
315, 0.251237
316, 0.251237
317, 0.251237
318, 0.251236
319, 0.251236
320, 0.251235
321, 0.251235
322, 0.251235
323, 0.251234
324, 0.251234
325, 0.251234
326, 0.251233
327, 0.251233
328, 0.251233
329, 0.251232
330, 0.251232
331, 0.251232
332, 0.251231
333, 0.251231
334, 0.251231
335, 0.25123
336, 0.25123
337, 0.25123
338, 0.251229
339, 0.251229
340, 0.251229
341, 0.251228
342, 0.251228
343, 0.251228
344, 0.251227
345, 0.251227
346, 0.251227
347, 0.251226
348, 0.251226
349, 0.251226
350, 0.251225
351, 0.251225
352, 0.251225
353, 0.251224
354, 0.251224
355, 0.251224
356, 0.251223
357, 0.251223
358, 0.251223
359, 0.251222
360, 0.251222
361, 0.251222
362, 0.251222
363, 0.251221
364, 0.251221
365, 0.251221
366, 0.25122
367, 0.25122
368, 0.25122
369, 0.251219
370, 0.251219
371, 0.251219
372, 0.251218
373, 0.251218
374, 0.251218
375, 0.251218
376, 0.251217
377, 0.251217
378, 0.251217
379, 0.251216
380, 0.251216
381, 0.251216
382, 0.251215
383, 0.251215
384, 0.251215
385, 0.251215
386, 0.251214
387, 0.251214
388, 0.251214
389, 0.251213
390, 0.251213
391, 0.251213
392, 0.251212
393, 0.251212
394, 0.251212
395, 0.251212
396, 0.251211
397, 0.251211
398, 0.251211
399, 0.25121
400, 0.25121
401, 0.25121
402, 0.25121
403, 0.251209
404, 0.251209
405, 0.251209
406, 0.251208
407, 0.251208
408, 0.251208
409, 0.251208
410, 0.251207
411, 0.251207
412, 0.251207
413, 0.251206
414, 0.251206
415, 0.251206
416, 0.251206
417, 0.251205
418, 0.251205
419, 0.251205
420, 0.251205
421, 0.251204
422, 0.251204
423, 0.251204
424, 0.251203
425, 0.251203
426, 0.251203
427, 0.251203
428, 0.251202
429, 0.251202
430, 0.251202
431, 0.251202
432, 0.251201
433, 0.251201
434, 0.251201
435, 0.2512
436, 0.2512
437, 0.2512
438, 0.2512
439, 0.251199
440, 0.251199
441, 0.251199
442, 0.251199
443, 0.251198
444, 0.251198
445, 0.251198
446, 0.251197
447, 0.251197
448, 0.251197
449, 0.251197
450, 0.251196
451, 0.251196
452, 0.251196
453, 0.251196
454, 0.251195
455, 0.251195
456, 0.251195
457, 0.251195
458, 0.251194
459, 0.251194
460, 0.251194
461, 0.251194
462, 0.251193
